Prefectural level or Country level,Provincial-level regions,地级行政区或县级行政区,省级行政区,2020-01-20 00:00:00,2020-01-21 00:00:00,2020-01-22 00:00:00,2020-01-23 00:00:00,2020-01-24 00:00:00,2020-01-25 00:00:00,2020-01-26 00:00:00,2020-01-27 00:00:00,2020-01-28 00:00:00,2020-01-29 00:00:00,2020-01-30 00:00:00,2020-01-31 00:00:00,2020-02-01 00:00:00,2020-02-02 00:00:00,2020-02-03 00:00:00,2020-02-04 00:00:00,2020-02-05 00:00:00,2020-02-06 00:00:00,2020-02-07 00:00:00,2020-02-08 00:00:00,2020-02-09 00:00:00,2020-02-10 00:00:00,2020-02-11 00:00:00,2020-02-12 00:00:00,2020-02-13 00:00:00,2020-02-14 00:00:00,2020-02-15 00:00:00,2020-02-16 00:00:00,2020-02-17 00:00:00,2020-02-18 00:00:00,2020-02-19 00:00:00,2020-02-20 00:00:00,2020-02-21 00:00:00,2020-02-22 00:00:00,2020-02-23 00:00:00,2020-02-24 00:00:00,2020-02-25 00:00:00,2020-02-26 00:00:00,2020-02-27 00:00:00,2020-02-28 00:00:00,2020-02-29 00:00:00
Beijing Municipality,Beijing Municipality,北京市,北京市,5.0,10.0,14.0,26.0,36.0,51.0,68.0,80.0,102.0,111,132,156,183,212,228,253,274,297,315,326,337,342,352,366,372,375,380,381,387,393,395,396,399,399,399,400,400,410.0,410.0,,
Tianjin Municipality,Tianjin Municipality,天津市,天津市,,2.0,4.0,5.0,8.0,10.0,14.0,23.0,24.0,27,31,32,41,48,60,67,69,79,81,88,91,95,106,112,119,120,122,124,125,128,130,131,133,135,135,135,135,135.0,136.0,,
Tangshan,Hebei,唐山市,河北省,,,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3,7,8,11,11,11,12,17,19,23,27,28,31,33,35,43,46,51,51,51,55,56,57,57,58,58,58,58,58.0,,,
Cangzhou,Hebei,沧州市,河北省,,,1.0,1.0,2.0,2.0,2.0,5.0,8.0,12,18,19,19,19,20,20,21,23,28,28,28,32,37,42,45,46,47,47,48,48,48,48,48,48,48,48,48,48.0,,,
Zhangjiakou,Hebei,张家口市,河北省,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6,6,8,9,9,9,10,12,13,14,14,17,21,21,25,31,33,34,34,34,34,34,34,34,34,34,34,35,40.0,,,
Baoding,Hebei,保定市,河北省,,,0.0,0.0,1.0,3.0,3.0,3.0,6.0,7,11,11,13,13,13,17,17,18,18,21,26,30,31,31,31,32,32,32,32,32,32,32,32,32,32,32,32,32.0,,,
Handan,Hebei,邯郸市,河北省,,,0.0,0.0,0.0,2.0,2.0,4.0,4.0,6,7,10,11,11,14,14,18,22,26,27,27,27,29,31,31,31,31,31,31,31,31,31,31,32,32,32,32,32.0,,,
Langfang,Hebei,廊坊市,河北省,,,0.0,0.0,0.0,0.0,2.0,6.0,9.0,9,9,11,11,12,12,13,14,15,20,22,24,26,28,29,29,29,30,30,30,30,30,30,30,30,30,30,30,30.0,,,
Shijiazhuang,Hebei,石家庄市,河北省,,,1.0,1.0,4.0,5.0,7.0,9.0,10.0,11,11,12,13,16,21,21,24,24,24,24,25,27,27,27,27,27,28,28,28,28,28,28,29,29,29,29,29,29.0,,,
Xingtai,Hebei,邢台市,河北省,,,0.0,0.0,0.0,0.0,1.0,2.0,3.0,5,7,10,10,14,16,16,19,19,21,21,21,21,21,21,22,22,22,23,23,23,23,23,23,23,23,23,23,23.0,,,
Qinhuangdao,Hebei,秦皇岛市,河北省,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,2,2,3,3,5,7,7,7,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10.0,,,
