Prefectural level or Country level,Provincial-level regions,地级行政区或县级行政区,省级行政区,2020-01-20 00:00:00,2020-01-21 00:00:00,2020-01-22 00:00:00,2020-01-23 00:00:00,2020-01-24 00:00:00,2020-01-25 00:00:00,2020-01-26 00:00:00,2020-01-27 00:00:00,2020-01-28 00:00:00,2020-01-29 00:00:00,2020-01-30 00:00:00,2020-01-31 00:00:00,2020-02-01 00:00:00,2020-02-02 00:00:00,2020-02-03 00:00:00,2020-02-04 00:00:00,2020-02-05 00:00:00,2020-02-06 00:00:00,2020-02-07 00:00:00,2020-02-08 00:00:00,2020-02-09 00:00:00,2020-02-10 00:00:00,2020-02-11 00:00:00,2020-02-12 00:00:00,2020-02-13 00:00:00,2020-02-14 00:00:00,2020-02-15 00:00:00,2020-02-16 00:00:00,2020-02-17 00:00:00,2020-02-18 00:00:00,2020-02-19 00:00:00,2020-02-20 00:00:00,2020-02-21 00:00:00,2020-02-22 00:00:00,2020-02-23 00:00:00,2020-02-24 00:00:00,2020-02-25 00:00:00,2020-02-26 00:00:00,2020-02-27 00:00:00,2020-02-28 00:00:00,2020-02-29 00:00:00
Beijing Municipality,Beijing Municipality,北京市,北京市,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,5.0,5.0,9.0,12.0,23.0,24.0,31.0,33.0,34.0,37.0,44.0,48.0,56.0,68.0,79.0,97.0,105.0,114.0,122.0,145.0,153.0,169.0,178.0,189.0,198.0,215.0,235.0,248.0,257.0,,
Tianjin Municipality,Tianjin Municipality,天津市,天津市,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,4.0,4.0,8.0,10.0,11.0,21.0,32.0,37.0,45.0,46.0,48.0,54.0,59.0,62.0,65.0,81.0,87.0,91.0,96.0,102.0,,
Tangshan,Hebei,唐山市,河北省,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,4.0,9.0,9.0,10.0,11.0,13.0,16.0,19.0,20.0,20.0,27.0,30.0,36.0,,,
Cangzhou,Hebei,沧州市,河北省,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0,12.0,12.0,14.0,14.0,18.0,18.0,18.0,18.0,22.0,22.0,26.0,28.0,31.0,33.0,35.0,,,
Zhangjiakou,Hebei,张家口市,河北省,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,4.0,7.0,9.0,9.0,9.0,15.0,24.0,24.0,25.0,26.0,28.0,32.0,32.0,32.0,,,
Baoding,Hebei,保定市,河北省,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,4.0,4.0,8.0,8.0,8.0,9.0,9.0,11.0,11.0,17.0,19.0,21.0,26.0,27.0,27.0,27.0,29.0,29.0,29.0,32.0,32.0,32.0,,,
Handan,Hebei,邯郸市,河北省,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,3.0,3.0,5.0,7.0,9.0,9.0,10.0,10.0,12.0,13.0,17.0,19.0,22.0,26.0,27.0,28.0,29.0,,,
Langfang,Hebei,廊坊市,河北省,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,5.0,5.0,8.0,8.0,12.0,12.0,14.0,14.0,16.0,18.0,20.0,21.0,22.0,25.0,27.0,28.0,28.0,30.0,,,
Shijiazhuang,Hebei,石家庄市,河北省,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,7.0,7.0,7.0,11.0,11.0,13.0,14.0,15.0,19.0,21.0,22.0,22.0,22.0,,,
Xingtai,Hebei,邢台市,河北省,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,4.0,5.0,5.0,8.0,8.0,10.0,10.0,10.0,10.0,10.0,13.0,15.0,18.0,19.0,19.0,20.0,22.0,,,
