Prefectural level or Country level,Provincial-level regions,地级行政区或县级行政区,省级行政区,2020-01-20 00:00:00,2020-01-21 00:00:00,2020-01-22 00:00:00,2020-01-23 00:00:00,2020-01-24 00:00:00,2020-01-25 00:00:00,2020-01-26 00:00:00,2020-01-27 00:00:00,2020-01-28 00:00:00,2020-01-29 00:00:00,2020-01-30 00:00:00,2020-01-31 00:00:00,2020-02-01 00:00:00,2020-02-02 00:00:00,2020-02-03 00:00:00,2020-02-04 00:00:00,2020-02-05 00:00:00,2020-02-06 00:00:00,2020-02-07 00:00:00,2020-02-08 00:00:00,2020-02-09 00:00:00,2020-02-10 00:00:00,2020-02-11 00:00:00,2020-02-12 00:00:00,2020-02-13 00:00:00,2020-02-14 00:00:00,2020-02-15 00:00:00,2020-02-16 00:00:00,2020-02-17 00:00:00,2020-02-18 00:00:00,2020-02-19 00:00:00,2020-02-20 00:00:00,2020-02-21 00:00:00,2020-02-22 00:00:00,2020-02-23 00:00:00,2020-02-24 00:00:00,2020-02-25 00:00:00,2020-02-26 00:00:00,2020-02-27 00:00:00,2020-02-28 00:00:00,2020-02-29 00:00:00
Beijing Municipality,Beijing Municipality,北京市,北京市,3.0,5.0,4.0,12.0,10.0,15.0,17.0,12.0,22.0,9,21,24,27,32,16,25,21,23,18,11,11,5,10,14,6,3,5,1,6,6,2,1,3,0,0,1,0,10.0,0.0,,
Tianjin Municipality,Tianjin Municipality,天津市,天津市,,2.0,2.0,1.0,3.0,2.0,4.0,9.0,1.0,3,4,1,9,7,12,4,2,10,2,7,3,4,11,6,7,1,2,2,1,3,2,1,2,2,0,0,0,0.0,1.0,,
Tangshan,Hebei,唐山市,河北省,,,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0,4,1,3,0,0,1,5,2,4,4,1,3,2,2,8,3,5,0,0,4,1,1,0,1,0,0,0,0.0,,,
Cangzhou,Hebei,沧州市,河北省,,,1.0,0.0,1.0,0.0,0.0,3.0,3.0,4,6,1,0,0,1,0,1,2,5,0,0,4,5,5,3,1,1,0,1,0,0,0,0,0,0,0,0,0.0,,,
Zhangjiakou,Hebei,张家口市,河北省,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5,0,2,1,0,0,1,2,1,1,0,3,4,0,4,6,2,1,0,0,0,0,0,0,0,0,0,1,5.0,,,
Baoding,Hebei,保定市,河北省,,,0.0,0.0,1.0,2.0,0.0,0.0,3.0,1,4,0,2,0,0,4,0,1,0,3,5,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,,,
Handan,Hebei,邯郸市,河北省,,,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2,1,3,1,0,3,0,4,4,4,1,0,0,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,,,
Langfang,Hebei,廊坊市,河北省,,,0.0,0.0,0.0,0.0,2.0,4.0,3.0,0,0,2,0,1,0,1,1,1,5,2,2,2,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,,,
Shijiazhuang,Hebei,石家庄市,河北省,,,1.0,0.0,3.0,1.0,2.0,2.0,1.0,1,0,1,1,3,5,0,3,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.0,,,
Xingtai,Hebei,邢台市,河北省,,,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2,2,3,0,4,2,0,3,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.0,,,
Qinhuangdao,Hebei,秦皇岛市,河北省,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,1,0,2,2,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,,,
Hengshui,Hebei,衡水市,河北省,,,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,
