Prefectural level or Country level,Provincial-level regions,地级行政区或县级行政区,省级行政区,2020-01-21,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29
,Beijing,,北京市,,,,,,,,,,,,,212.0,228.0,253.0,274.0,297.0,315.0,326.0,337.0,342.0,352.0,366.0,372.0,375.0,380,381,387,393,395,369,399,399,399,400,400,410.0,410.0,,
,Tianjing,,天津市,,,,8.0,10.0,14.0,23.0,24.0,27.0,31.0,32.0,41.0,48.0,60.0,67.0,69.0,79.0,81.0,88.0,95.0,106.0,112.0,119.0,120.0,122.0,124,125,128,130,131,133,135,135,135,135,135,136.0,,,
Tangshan,Hebei,唐山,河北省,,,,0.0,0.0,0.0,1.0,1.0,3.0,7.0,8.0,11.0,11.0,11.0,12.0,17.0,19.0,23.0,27.0,28.0,31.0,33.0,35.0,43.0,46.0,51,51,51,55,56,57,57,58,58,58,58,58.0,,,
Cangzhou,Hebei,滄州,河北省,,,,2.0,2.0,2.0,5.0,8.0,12.0,18.0,19.0,19.0,19.0,20.0,20.0,21.0,23.0,28.0,28.0,32.0,37.0,42.0,45.0,46.0,47.0,47,47,48,48,48,48,48,48,48,48,48,48.0,,,
Zhangjiakou,Hebei,張家口,河北省,,,,0.0,0.0,0.0,0.0,1.0,6.0,6.0,8.0,9.0,9.0,9.0,10.0,12.0,13.0,14.0,14.0,17.0,21.0,21.0,25.0,31.0,33.0,34,34,34,34,34,34,34,34,34,34,35,40.0,,,
Baoding,Hebei,保定,河北省,,,,1.0,3.0,3.0,3.0,6.0,7.0,11.0,11.0,13.0,13.0,13.0,17.0,17.0,18.0,18.0,21.0,26.0,30.0,31.0,31.0,31.0,32.0,32,32,32,32,32,32,32,32,32,32,32,32.0,,,
Handan,Hebei,邯鄲,河北省,,,,0.0,2.0,2.0,4.0,4.0,6.0,7.0,10.0,11.0,11.0,14.0,14.0,18.0,22.0,26.0,27.0,27.0,27.0,29.0,31.0,31.0,31.0,31,31,31,31,31,31,31,32,32,32,32,32.0,,,
Langfang,Hebei,廊坊,河北省,,,,0.0,0.0,2.0,6.0,9.0,9.0,9.0,11.0,11.0,12.0,12.0,13.0,14.0,15.0,20.0,22.0,24.0,26.0,28.0,29.0,29.0,29.0,30,30,30,30,30,30,30,30,30,30,30,30.0,,,
Shijiazhuang,Hebei,石家莊,河北省,,,,4.0,5.0,7.0,9.0,10.0,11.0,11.0,12.0,13.0,16.0,21.0,21.0,24.0,24.0,24.0,24.0,25.0,27.0,27.0,27.0,27.0,27.0,28,28,28,28,28,28,29,29,29,29,29,29.0,,,
Xingtai,Hebei,邢台,河北省,,,,0.0,0.0,1.0,2.0,3.0,5.0,7.0,10.0,10.0,14.0,16.0,16.0,19.0,19.0,21.0,21.0,21.0,21.0,21.0,21.0,22.0,22.0,22,23,23,23,23,23,23,23,23,23,23,23.0,,,
Qinhuangdao,Hebei,秦皇島,河北省,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,3.0,3.0,5.0,7.0,7.0,7.0,9.0,9.0,9.0,9.0,10.0,10,10,10,10,10,10,10,10,10,10,10,10.0,,,
